videoId,video_url
nBusvrDEjdk,https://www.youtube.com/watch?v=nBusvrDEjdk
FXbRmfdLhkk,https://www.youtube.com/watch?v=FXbRmfdLhkk
ZSkEzvMx9ks,https://www.youtube.com/watch?v=ZSkEzvMx9ks
g2s8TuiQOEQ,https://www.youtube.com/watch?v=g2s8TuiQOEQ
BZR-Hkuy320,https://www.youtube.com/watch?v=BZR-Hkuy320
eioiZdUl-HU,https://www.youtube.com/watch?v=eioiZdUl-HU
Od7tfE2iwWY,https://www.youtube.com/watch?v=Od7tfE2iwWY
ULuiRddnJLE,https://www.youtube.com/watch?v=ULuiRddnJLE
H4Tt5C6IChE,https://www.youtube.com/watch?v=H4Tt5C6IChE
prAV5-1d0PQ,https://www.youtube.com/watch?v=prAV5-1d0PQ
DePM4moKvS4,https://www.youtube.com/watch?v=DePM4moKvS4
KlIhvcGxc0k,https://www.youtube.com/watch?v=KlIhvcGxc0k
linTQJlB6io,https://www.youtube.com/watch?v=linTQJlB6io
veLGemX4kw8,https://www.youtube.com/watch?v=veLGemX4kw8
EPBruuVwC_g,https://www.youtube.com/watch?v=EPBruuVwC_g
O3UzB60N4P0,https://www.youtube.com/watch?v=O3UzB60N4P0
IJhvBDhUE0Q,https://www.youtube.com/watch?v=IJhvBDhUE0Q
bo0GaAbmxV8,https://www.youtube.com/watch?v=bo0GaAbmxV8
-FypiqgQOEg,https://www.youtube.com/watch?v=-FypiqgQOEg
epKFGrf2NFM,https://www.youtube.com/watch?v=epKFGrf2NFM
YiodHE6lLiM,https://www.youtube.com/watch?v=YiodHE6lLiM
TfqmaBUDw0E,https://www.youtube.com/watch?v=TfqmaBUDw0E
8e4b4jeVom8,https://www.youtube.com/watch?v=8e4b4jeVom8
RKavzevrH04,https://www.youtube.com/watch?v=RKavzevrH04
9CriHxZgSHQ,https://www.youtube.com/watch?v=9CriHxZgSHQ
ALWUN7WgW0E,https://www.youtube.com/watch?v=ALWUN7WgW0E
Z1CEK94CjJI,https://www.youtube.com/watch?v=Z1CEK94CjJI
VOfoINY_w1I,https://www.youtube.com/watch?v=VOfoINY_w1I
qNg98ljKYe0,https://www.youtube.com/watch?v=qNg98ljKYe0
-3OwFM1E5QI,https://www.youtube.com/watch?v=-3OwFM1E5QI
eXednT8J6Ww,https://www.youtube.com/watch?v=eXednT8J6Ww
kdahT550Idg,https://www.youtube.com/watch?v=kdahT550Idg
C1d6UBRzzIA,https://www.youtube.com/watch?v=C1d6UBRzzIA
f1Eq0DLKw5g,https://www.youtube.com/watch?v=f1Eq0DLKw5g
92ZTtRLMZIg,https://www.youtube.com/watch?v=92ZTtRLMZIg
iBBKZ7UjkwY,https://www.youtube.com/watch?v=iBBKZ7UjkwY
oKYbuubSK_g,https://www.youtube.com/watch?v=oKYbuubSK_g
H51TkTEbDs8,https://www.youtube.com/watch?v=H51TkTEbDs8
HY-o1hEldYc,https://www.youtube.com/watch?v=HY-o1hEldYc
cbgPcRXVOG8,https://www.youtube.com/watch?v=cbgPcRXVOG8
vjk4ttFRnyE,https://www.youtube.com/watch?v=vjk4ttFRnyE
t4JAY1j1-FU,https://www.youtube.com/watch?v=t4JAY1j1-FU
T7Oo_0guYaQ,https://www.youtube.com/watch?v=T7Oo_0guYaQ
rkvgUNanvU0,https://www.youtube.com/watch?v=rkvgUNanvU0
4K6HH785IVk,https://www.youtube.com/watch?v=4K6HH785IVk
hxegYJjsTDI,https://www.youtube.com/watch?v=hxegYJjsTDI
m-JARE9nFgY,https://www.youtube.com/watch?v=m-JARE9nFgY
7X1p8cm29SY,https://www.youtube.com/watch?v=7X1p8cm29SY
GUm7ObKfsPU,https://www.youtube.com/watch?v=GUm7ObKfsPU
MFhi5c7bUf4,https://www.youtube.com/watch?v=MFhi5c7bUf4
8Jb86MZBGZ4,https://www.youtube.com/watch?v=8Jb86MZBGZ4
blIJbY2Ru3c,https://www.youtube.com/watch?v=blIJbY2Ru3c
WCQay392DPY,https://www.youtube.com/watch?v=WCQay392DPY
yVPPtvBt_TA,https://www.youtube.com/watch?v=yVPPtvBt_TA
O1Y7sVqz-vc,https://www.youtube.com/watch?v=O1Y7sVqz-vc
MzMHG_3voeY,https://www.youtube.com/watch?v=MzMHG_3voeY
hPHFcTH8mD8,https://www.youtube.com/watch?v=hPHFcTH8mD8
c88HXZio0q0,https://www.youtube.com/watch?v=c88HXZio0q0
CHBxyqjaz3o,https://www.youtube.com/watch?v=CHBxyqjaz3o
OuvrgkBOsz0,https://www.youtube.com/watch?v=OuvrgkBOsz0
mX0oohUB8ck,https://www.youtube.com/watch?v=mX0oohUB8ck
s2tXklqIgh4,https://www.youtube.com/watch?v=s2tXklqIgh4
dwtIZedZEfY,https://www.youtube.com/watch?v=dwtIZedZEfY
aesWvhXJTs8,https://www.youtube.com/watch?v=aesWvhXJTs8
AT-FbrDt7sI,https://www.youtube.com/watch?v=AT-FbrDt7sI
CUNcbogIxUU,https://www.youtube.com/watch?v=CUNcbogIxUU
Jzu-DXmGFlU,https://www.youtube.com/watch?v=Jzu-DXmGFlU
jmy9sNy36so,https://www.youtube.com/watch?v=jmy9sNy36so
eVXrDL9KNIE,https://www.youtube.com/watch?v=eVXrDL9KNIE
LZzdsB2oh2Y,https://www.youtube.com/watch?v=LZzdsB2oh2Y
yDDRagJc1FQ,https://www.youtube.com/watch?v=yDDRagJc1FQ
lxXGhROqkaQ,https://www.youtube.com/watch?v=lxXGhROqkaQ
00EluGhzmgY,https://www.youtube.com/watch?v=00EluGhzmgY
HCTvT5uhFI4,https://www.youtube.com/watch?v=HCTvT5uhFI4
YTaRu8AKt9w,https://www.youtube.com/watch?v=YTaRu8AKt9w
gb8m_nVcG1s,https://www.youtube.com/watch?v=gb8m_nVcG1s
_h_4FA9UNjA,https://www.youtube.com/watch?v=_h_4FA9UNjA
dUNNSTb12wM,https://www.youtube.com/watch?v=dUNNSTb12wM
IsFh649fdwc,https://www.youtube.com/watch?v=IsFh649fdwc
60IeyZF-Bpo,https://www.youtube.com/watch?v=60IeyZF-Bpo
qKgBSiU1Ub8,https://www.youtube.com/watch?v=qKgBSiU1Ub8
NsdciLKnpac,https://www.youtube.com/watch?v=NsdciLKnpac
jbIXUxci-EE,https://www.youtube.com/watch?v=jbIXUxci-EE
mNrSJJUAZgk,https://www.youtube.com/watch?v=mNrSJJUAZgk
qdSPOAaGnDY,https://www.youtube.com/watch?v=qdSPOAaGnDY
ghpW_pOS3iY,https://www.youtube.com/watch?v=ghpW_pOS3iY
6f8gM-iAQzM,https://www.youtube.com/watch?v=6f8gM-iAQzM
3hpswDat2nE,https://www.youtube.com/watch?v=3hpswDat2nE
hy_I2zjPCTs,https://www.youtube.com/watch?v=hy_I2zjPCTs
O9dBXdp6pH4,https://www.youtube.com/watch?v=O9dBXdp6pH4
bby5yG9udNM,https://www.youtube.com/watch?v=bby5yG9udNM
ESEcgdBA3Pk,https://www.youtube.com/watch?v=ESEcgdBA3Pk
r4zZapVsjL8,https://www.youtube.com/watch?v=r4zZapVsjL8
vMKHJKGBFcg,https://www.youtube.com/watch?v=vMKHJKGBFcg
00i63RRIRJo,https://www.youtube.com/watch?v=00i63RRIRJo
1nKmQWJ_4JU,https://www.youtube.com/watch?v=1nKmQWJ_4JU
1IMD-4YvXfQ,https://www.youtube.com/watch?v=1IMD-4YvXfQ
BrDZSPuR6-s,https://www.youtube.com/watch?v=BrDZSPuR6-s
_y_SIwbHZSA,https://www.youtube.com/watch?v=_y_SIwbHZSA
hdNmXki_RtY,https://www.youtube.com/watch?v=hdNmXki_RtY
j4HDgvT99Cs,https://www.youtube.com/watch?v=j4HDgvT99Cs
PUvrinPgOO0,https://www.youtube.com/watch?v=PUvrinPgOO0
t103--tQ1tI,https://www.youtube.com/watch?v=t103--tQ1tI
FwtHFhZBD30,https://www.youtube.com/watch?v=FwtHFhZBD30
M8xNsq_bT_Y,https://www.youtube.com/watch?v=M8xNsq_bT_Y
XG4UYKS611k,https://www.youtube.com/watch?v=XG4UYKS611k
My12DeIS580,https://www.youtube.com/watch?v=My12DeIS580
uvso01dZxeo,https://www.youtube.com/watch?v=uvso01dZxeo
pjZEAdT_XtI,https://www.youtube.com/watch?v=pjZEAdT_XtI
Gzpilz8bOJU,https://www.youtube.com/watch?v=Gzpilz8bOJU
