videoId,frames_analyzed,analysis_date,humanPresence,faceSum,Gender,Smile,motionMagnitude,motionDirection,Saturation,Brightness,video_id,method,performance
prAV5-1d0PQ,25,2025-08-13 18:36:52,1.0,2.0,0.5,1.0,0.734,0.536,0.469,0.266,prAV5-1d0PQ,yolo_production,"{'total_time': 2.67887806892395, 'analysis_fps': 9.332264984364137, 'detection_fps': np.float64(48.71816242141793), 'gpu_used': True}"
DePM4moKvS4,25,2025-08-13 18:36:53,1.0,1.0,0.0,1.0,0.675,0.414,0.199,0.696,DePM4moKvS4,yolo_production,"{'total_time': 2.646427869796753, 'analysis_fps': 9.446696161766168, 'detection_fps': np.float64(45.66611014029573), 'gpu_used': True}"
KlIhvcGxc0k,25,2025-08-13 18:36:53,1.0,1.0,0.0,1.0,1.0,0.539,0.216,0.701,KlIhvcGxc0k,yolo_production,"{'total_time': 2.6016666889190674, 'analysis_fps': 9.60922477367265, 'detection_fps': np.float64(43.6830011400243), 'gpu_used': True}"
linTQJlB6io,25,2025-08-13 18:36:54,1.0,1.0,0.5,1.0,0.866,0.536,0.207,0.733,linTQJlB6io,yolo_production,"{'total_time': 2.59444260597229, 'analysis_fps': 9.635981132306078, 'detection_fps': np.float64(47.960474749833644), 'gpu_used': True}"
veLGemX4kw8,25,2025-08-13 18:36:55,1.0,2.0,0.0,1.0,0.73,0.487,0.368,0.486,veLGemX4kw8,yolo_production,"{'total_time': 2.5665719509124756, 'analysis_fps': 9.740619190945308, 'detection_fps': np.float64(45.853998037205635), 'gpu_used': True}"
O3UzB60N4P0,25,2025-08-13 18:36:56,1.0,1.0,0.5,1.0,0.729,0.509,0.389,0.427,O3UzB60N4P0,yolo_production,"{'total_time': 2.5261104106903076, 'analysis_fps': 9.89663788811522, 'detection_fps': np.float64(45.96427788661585), 'gpu_used': True}"
EPBruuVwC_g,25,2025-08-13 18:36:56,1.0,1.0,0.0,1.0,0.682,0.53,0.382,0.365,EPBruuVwC_g,yolo_production,"{'total_time': 2.7501730918884277, 'analysis_fps': 9.09033692233297, 'detection_fps': np.float64(43.951735750898564), 'gpu_used': True}"
IJhvBDhUE0Q,25,2025-08-13 18:36:57,1.0,1.0,0.0,1.0,0.633,0.458,0.47,0.433,IJhvBDhUE0Q,yolo_production,"{'total_time': 2.738445997238159, 'analysis_fps': 9.12926529324061, 'detection_fps': np.float64(44.71422104717607), 'gpu_used': True}"
bo0GaAbmxV8,25,2025-08-13 18:36:58,1.0,4.0,0.5,1.0,0.868,0.478,0.193,0.538,bo0GaAbmxV8,yolo_production,"{'total_time': 2.7337324619293213, 'analysis_fps': 9.145006085327145, 'detection_fps': np.float64(49.872886498975355), 'gpu_used': True}"
-FypiqgQOEg,25,2025-08-13 18:36:58,1.0,4.0,0.0,0.0,0.942,0.53,0.175,0.482,-FypiqgQOEg,yolo_production,"{'total_time': 2.397456645965576, 'analysis_fps': 10.427717240297058, 'detection_fps': np.float64(46.44034121986856), 'gpu_used': True}"
epKFGrf2NFM,25,2025-08-13 18:36:58,1.0,7.0,0.0,0.0,1.0,0.59,0.302,0.443,epKFGrf2NFM,yolo_production,"{'total_time': 2.3803155422210693, 'analysis_fps': 10.502809210190902, 'detection_fps': np.float64(50.13645520991659), 'gpu_used': True}"
