videoId,titleSentiment,titleTechnicality,descriptionSentiment,descriptionTechnicality,hashtagsDescription,URLDescription,scriptSentiment,scriptTechnicality,analysis_date
-FypiqgQOEg,0.426,0.663,0.375,0.386,0.3,0.733,0.573,0.111,2025-08-13 18:23:21
bo0GaAbmxV8,0.607,0.637,0.589,0.407,0.4,0.667,0.547,0.205,2025-08-13 18:23:21
YiodHE6lLiM,0.477,0.244,0.385,0.336,0.6,0.8,0.295,0.125,2025-08-13 18:23:26
TfqmaBUDw0E,0.253,0.237,0.329,0.346,0.6,0.8,0.308,0.21,2025-08-13 18:23:27
Z1CEK94CjJI,0.562,0.246,0.304,0.394,0.0,0.067,0.558,0.206,2025-08-13 18:23:30
RKavzevrH04,0.265,0.243,0.342,0.303,0.6,0.8,0.381,0.108,2025-08-13 18:23:30
8e4b4jeVom8,0.312,0.25,0.373,0.289,0.6,0.8,0.24,0.097,2025-08-13 18:23:30
VOfoINY_w1I,0.562,0.246,0.584,0.32,0.6,0.733,0.436,0.168,2025-08-13 18:23:35
epKFGrf2NFM,0.558,0.25,0.429,0.334,0.6,1.0,0.262,0.091,2025-08-13 18:23:43
-3OwFM1E5QI,0.668,0.267,0.655,0.323,0.9,0.733,0.737,0.246,2025-08-13 18:23:43
9CriHxZgSHQ,0.475,0.27,0.293,0.365,0.3,0.733,0.56,0.187,2025-08-13 18:23:44
ALWUN7WgW0E,0.347,0.773,0.43,0.358,0.3,0.733,0.304,0.219,2025-08-13 18:23:47
qNg98ljKYe0,0.63,0.329,0.5,0.371,0.4,0.267,0.752,0.146,2025-08-13 18:23:48
eXednT8J6Ww,0.543,0.647,0.466,0.304,0.4,0.733,0.418,0.088,2025-08-13 18:23:49
kdahT550Idg,0.458,0.433,0.351,0.326,0.3,0.733,0.5,0.125,2025-08-13 18:23:50
C1d6UBRzzIA,0.534,0.389,0.5,0.391,0.4,0.267,0.704,0.344,2025-08-13 18:23:54
oKYbuubSK_g,0.636,0.271,0.689,0.317,0.3,0.733,0.42,0.138,2025-08-13 18:23:57
_diz4hAiPGo,0.314,0.27,0.511,0.267,0.7,0.867,0.693,0.083,2025-08-13 18:23:58
vjk4ttFRnyE,0.644,0.239,0.614,0.365,0.3,0.667,0.373,0.035,2025-08-13 18:23:58
BZR-Hkuy320,0.457,0.47,0.468,0.422,0.5,0.933,0.407,0.212,2025-08-13 18:23:59
J6P8Wcr0UbI,0.602,0.065,0.313,0.27,1.0,0.867,0.401,0.076,2025-08-13 18:24:02
H51TkTEbDs8,0.494,0.254,0.296,0.325,0.3,0.267,0.348,0.288,2025-08-13 18:24:02
4K6HH785IVk,0.312,0.253,0.415,0.337,0.3,0.667,,,2025-08-13 18:24:03
cbgPcRXVOG8,0.218,0.21,0.738,0.313,0.3,0.333,0.247,0.145,2025-08-13 18:24:05
NSnUAr3HzfE,0.489,0.271,0.388,0.296,0.6,0.733,0.557,0.131,2025-08-13 18:24:05
prAV5-1d0PQ,0.73,0.247,0.345,0.365,0.9,0.733,0.71,0.149,2025-08-13 18:24:06
laEvtQCNB4k,0.608,0.072,0.638,0.248,0.7,0.733,0.725,0.091,2025-08-13 18:24:09
GUm7ObKfsPU,0.463,0.08,0.475,0.265,1.0,0.733,0.396,0.063,2025-08-13 18:24:10
rkvgUNanvU0,0.534,0.185,0.67,0.31,0.3,0.333,0.631,0.157,2025-08-13 18:24:15
hxegYJjsTDI,0.5,0.616,0.532,0.409,0.3,0.267,0.295,0.266,2025-08-13 18:24:16
iBBKZ7UjkwY,0.653,0.25,0.509,0.356,0.3,0.267,0.5,0.148,2025-08-13 18:24:18
HY-o1hEldYc,0.437,0.603,0.306,0.369,0.8,0.8,0.42,0.155,2025-08-13 18:24:23
WCQay392DPY,0.618,0.245,0.615,0.265,1.0,0.667,0.518,0.201,2025-08-13 18:24:25
MzMHG_3voeY,0.661,0.458,0.623,0.364,1.0,0.667,0.745,0.246,2025-08-13 18:24:29
c88HXZio0q0,0.646,0.241,0.558,0.306,0.3,0.733,0.485,0.132,2025-08-13 18:24:33
T7Oo_0guYaQ,0.538,0.251,0.411,0.348,0.3,0.733,0.5,0.181,2025-08-13 18:24:35
CHBxyqjaz3o,0.561,0.414,0.455,0.354,1.0,0.733,0.436,0.195,2025-08-13 18:24:39
f1Eq0DLKw5g,0.453,0.082,0.468,0.373,1.0,0.867,0.409,0.191,2025-08-13 18:24:40
mX0oohUB8ck,0.487,0.674,0.404,0.443,0.3,0.8,0.447,0.181,2025-08-13 18:24:50
s2tXklqIgh4,0.577,0.223,0.326,0.202,0.0,0.133,0.395,0.179,2025-08-13 18:24:52
blIJbY2Ru3c,0.68,0.473,0.531,0.364,0.3,0.267,0.746,0.252,2025-08-13 18:24:55
CUNcbogIxUU,0.548,0.422,0.342,0.364,0.3,0.867,,,2025-08-13 18:24:55
